% Model:              Transitorio.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 10 2025, 14:49
% Table:              Table 6 - 
% Time (s)                                        Total heat flux magnitude (W/m^2), Point: (0.75, 0, 0)
0                                                 2.6731849553616902E-8
0.12242448515301106                               2.532822358441408E-8
0.12484897030602213                               2.532822358441408E-8
0.12969794061204426                               2.532822358441408E-8
0.13939588122408855                               2.457626794650184E-8
0.1587917624481771                                2.1069354261271656E-8
0.1781876436722657                                1.7540445613471622E-8
0.21697940612044284                               1.1356990287619123E-8
0.25577116856862                                  8.447498162775542E-9
0.2945629310167971                                8.995164294861675E-9
0.33335469346497426                               9.139969200127859E-9
0.41093821836132854                               1.2093796657403044E-8
0.48852174325768283                               1.0761639659812007E-8
0.5661052681540371                                1.0761639659812007E-8
0.6436887930503914                                1.0044592761798822E-8
0.7212723179467457                                8.850140292142353E-9
0.8764393677394543                                8.390992524167102E-9
1.0316064175321629                                7.268121906576726E-9
1.1867734673248713                                9.6444634317927E-9
1.34194051711758                                  5.469388120080006E-9
1.4971075669102887                                4.026542334029762E-9
1.8074416664957058                                6.635813160644041E-9
2.117775766081123                                 5.183580178387797E-9
2.4281098656665403                                6.135156079852577E-9
2.7384439652519577                                8.158726498417365E-9
3.048778064837375                                 6.496706437695811E-9
3.3591121644227924                                6.233620240363622E-9
3.9797803635936266                                5.946142692319868E-9
4.600448562764461                                 5.465907758213048E-9
5.221116761935296                                 3.109168995373902E-9
5.84178496110613                                  3.772795549090954E-9
6.462453160276965                                 4.064174388724429E-9
7.0831213594478                                   5.538536101141408E-9
8.324457757789467                                 8.720175226672825E-9
9.565794156131137                                 5.9108346502725885E-9
10.807130554472806                                3.3620618187771666E-9
12.048466952814476                                5.701070417827263E-9
13.289803351156145                                4.336016682242662E-9
14.531139749497815                                6.147550347192524E-9
17.01381254618115                                 5.507526946156342E-9
19.49648534286449                                 3.017101360865053E-8
21.979158139547827                                2.687349081380315E-7
24.461830936231166                                1.5339623826045894E-6
26.944503732914505                                6.942170486310269E-6
29.427176529597844                                2.643571131124909E-5
34.39252212296452                                 6.259596057959066E-4
39.3578677163312                                  0.004299463840388685
44.32321330969788                                 0.019105142240940936
49.288558903064555                                0.06548752316770773
54.25390449643123                                 0.18703112566430585
59.21925008979791                                 0.46482898519621957
64.18459568316459                                 1.0338923408357419
74.11528686989794                                 4.442220043108482
84.0459780566313                                  13.080550985314796
93.97666924336465                                 30.69685670679336
103.90736043009801                                61.76630570579361
113.83805161683136                                110.96649393797983
123.76874280356472                                182.63443063103273
133.69943399029808                                280.3203578431662
153.5608163637648                                 562.7935506371418
173.4221987372315                                 960.6140623408301
193.2835811106982                                 1466.0637542647005
213.14496348416492                                2063.8915556829343
233.00634585763163                                2734.7988777798228
252.86772823109834                                3458.6588397674072
272.72911060456505                                4216.697973993456
312.4518753514984                                 5759.592582285986
352.17464009843184                                7287.344611089082
391.89740484536526                                8746.010002058656
431.6201695922987                                 10103.599654394604
471.3429343392321                                 11345.571148432962
511.0656990861655                                 12468.889778886693
550.788463833099                                  13477.320809396619
590.5112285800324                                 14378.209513613507
669.9567580738992                                 15904.67236604366
749.402287567766                                  17110.387189306603
828.8478170616329                                 18055.378777350714
908.2933465554997                                 18792.107947864202
987.7388760493666                                 19363.69234870986
1067.1844055432334                                19804.57207322278
1146.6299350371003                                20141.879129784324
1226.075464530967                                 20396.880887722
1384.9665235187008                                20736.83475295018
1543.8575825064345                                20901.166069069466
1702.7486414941682                                20947.939165274038
1861.6397004819019                                20917.955036386546
2020.5307594696355                                20838.330282754716
2179.421818457369                                 20726.839877594753
2338.312877445103                                 20595.148134059884
2497.2039364328366                                20450.975597923243
2656.0949954205703                                20299.49370832546
2973.877113396037                                 19989.858222200153
3259.8810195739575                                19709.853366585437
3545.8849257518777                                19435.454182943988
3831.888831929798                                 19170.342854770875
4117.892738107718                                 18916.308942260144
4403.896644285639                                 18674.055301430722
4689.90055046356                                  18443.684101491
4975.9044566414805                                18224.975599667676
5261.908362819401                                 18017.543998443776
5833.916175175242                                 17633.980204499752
6405.923987531082                                 17289.497320864197
6977.931799886923                                 16980.44070124877
7549.939612242763                                 16703.28543961484
8121.947424598604                                 16454.778216605664
8693.955236954445                                 16231.968298347454
9265.963049310287                                 16032.199698405131
10409.978674021968                                15690.017936075572
11553.994298733649                                15414.537840703919
12698.00992344533                                 15193.375068007153
13842.025548157011                                15016.003336083872
14986.041172868692                                14873.814275944293
16130.056797580373                                14759.850769045252
17274.072422292054                                14668.517292552551
18418.088047003737                                14595.322713853977
19562.10367171542                                 14536.665519641401
20706.119296427103                                14489.658703242852
22994.150545850465                                14419.839988577694
25282.181795273827                                14374.940157353143
27570.21304469719                                 14346.580615066758
29858.24429412055                                 14328.843756145186
32146.275543543914                                14317.817731778756
34434.306792967276                                14310.989654736273
39010.369291814                                   14303.256778152669
43586.431790660725                                14300.459901760118
48162.49428950745                                 14299.73001739191
54162.49428950745                                 14299.60879396906
60162.49428950745                                 14299.814013212743
