% Model:              Transitorio.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 10 2025, 14:56
% Table:              Table 23 - 
% Time (s)                                        Total heat flux magnitude (W/m^2), Point: (2.75, 0, 0)
0                                                 2.648105258317987E-5
0.12242448515301106                               3.077053780879957E-5
0.12484897030602213                               3.512238602282173E-5
0.12969794061204426                               4.3851482636876805E-5
0.13939588122408855                               6.047277276623166E-5
0.1587917624481771                                8.518903323144212E-5
0.1781876436722657                                9.537521584398048E-5
0.21697940612044284                               7.27354656852082E-5
0.25577116856862                                  3.207736983075359E-5
0.2945629310167971                                7.345680459139081E-5
0.33335469346497426                               1.1389974514840202E-4
0.41093821836132854                               1.0357500635717809E-4
0.48852174325768283                               4.1628349146601525E-5
0.5661052681540371                                8.989455276268383E-5
0.6436887930503914                                1.3011699017428512E-4
0.7212723179467457                                1.1400353430333885E-4
0.8764393677394543                                2.0609716123007897E-5
1.0316064175321629                                8.796150977429609E-5
1.1867734673248713                                7.302344758170409E-5
1.34194051711758                                  3.5801641974606326E-5
1.4971075669102887                                1.6045589674673337E-4
1.8074416664957058                                3.083196700468951E-4
2.117775766081123                                 4.83851310390945E-4
2.4281098656665403                                0.0010039480404155233
2.7384439652519577                                0.0022098779737136083
3.048778064837375                                 0.00451735159114058
3.3591121644227924                                0.008644135225981175
3.9797803635936266                                0.03274211595530359
4.600448562764461                                 0.10074252984203176
5.221116761935296                                 0.2648335353342767
5.84178496110613                                  0.6181878961160914
6.462453160276965                                 1.3138689193254234
7.0831213594478                                   2.586129572382466
8.324457757789467                                 9.076462311275186
9.565794156131137                                 24.16065360360828
10.807130554472806                                53.32142446019296
12.048466952814476                                102.79932458129234
13.289803351156145                                178.72191493375394
14.531139749497815                                286.2916865859548
17.01381254618115                                 609.7531240281089
19.49648534286449                                 1076.162618206488
21.979158139547827                                1673.623104109409
24.461830936231166                                2379.5743026443274
26.944503732914505                                3166.50265397044
29.427176529597844                                4006.882400462337
34.39252212296452                                 5734.362964854962
39.3578677163312                                  7449.176125175314
44.32321330969788                                 9074.321290254622
49.288558903064555                                10567.182750086182
54.25390449643123                                 11911.233730701477
59.21925008979791                                 13106.075262951046
64.18459568316459                                 14159.974937592166
74.11528686989794                                 15910.803344181719
84.0459780566313                                  17252.17116003953
93.97666924336465                                 18268.75606995229
103.90736043009801                                19032.775297104763
113.83805161683136                                19601.73385979067
123.76874280356472                                20020.000659289053
133.69943399029808                                20321.353182128816
153.5608163637648                                 20690.025702322026
173.4221987372315                                 20820.724026941258
193.2835811106982                                 20796.309733310492
213.14496348416492                                20673.41926233014
233.00634585763163                                20488.763379239954
252.86772823109834                                20265.95236050976
272.72911060456505                                20020.28382697829
312.4518753514984                                 19503.595179937332
352.17464009843184                                18974.665558845125
391.89740484536526                                18455.346572277293
431.6201695922987                                 17957.23019559642
471.3429343392321                                 17485.228183010815
511.0656990861655                                 17040.597017790784
550.788463833099                                  16622.764889358783
590.5112285800324                                 16230.327107897843
669.9567580738992                                 15512.495385053628
749.402287567766                                  14875.10569283543
828.8478170616329                                 14306.515882987109
908.2933465554997                                 13796.425385765462
987.7388760493666                                 13336.202940669451
1067.1844055432334                                12918.78377937316
1146.6299350371003                                12538.446648837047
1226.075464530967                                 12190.573490565677
1384.9665235187008                                11574.717397922304
1543.8575825064345                                11052.978429966448
1702.7486414941682                                10610.65042230116
1861.6397004819019                                10236.397081111973
2020.5307594696355                                9921.567195005855
2179.421818457369                                 9659.313503519166
2338.312877445103                                 9443.949758138633
2497.2039364328366                                9270.544161394697
2656.0949954205703                                9134.68392233012
2973.877113396037                                 8955.449108653707
3259.8810195739575                                8886.157858261076
3545.8849257518777                                8886.106477984853
3831.888831929798                                 8940.329200721691
4117.892738107718                                 9036.256502606917
4403.896644285639                                 9163.487705634898
4689.90055046356                                  9313.533248348329
4975.9044566414805                                9479.546421849705
5261.908362819401                                 9656.065163469832
5833.916175175242                                 10020.864980334027
6405.923987531082                                 10388.668288260236
6977.931799886923                                 10745.755875923416
7549.939612242763                                 11083.581986752535
8121.947424598604                                 11397.681863911363
8693.955236954445                                 11686.33069499595
9265.963049310287                                 11949.507960824354
10409.978674021968                                12405.937297383018
11553.994298733649                                12778.26834624776
12698.00992344533                                 13079.333981668105
13842.025548157011                                13321.556450323807
14986.041172868692                                13515.934406301221
16130.056797580373                                13671.739400064434
17274.072422292054                                13796.576105008025
18418.088047003737                                13896.593486552834
19562.10367171542                                 13976.730267907153
20706.119296427103                                14040.942778357055
22994.150545850465                                14136.312263075637
25282.181795273827                                14197.640411342096
27570.21304469719                                 14236.375925395718
29858.24429412055                                 14260.60243718972
32146.275543543914                                14275.662915814557
34434.306792967276                                14284.989486069817
39010.369291814                                   14295.551947430036
43586.431790660725                                14299.372255627142
48162.49428950745                                 14300.369219545753
54162.49428950745                                 14300.534800647647
60162.49428950745                                 14300.25448820909
