% Model:              Transitorio.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 10 2025, 14:48
% Table:              Table 4 - 
% Time (s)                                        Total heat flux magnitude (W/m^2), Point: (0.5, 0, 0)
0                                                 4.093696889371227E-9
0.12242448515301106                               4.093696889371227E-9
0.12484897030602213                               4.093696889371227E-9
0.12969794061204426                               4.093696889371227E-9
0.13939588122408855                               4.093696889371227E-9
0.1587917624481771                                4.217338196667781E-9
0.1781876436722657                                2.568396027120812E-9
0.21697940612044284                               3.0180354669097834E-9
0.25577116856862                                  2.9219268091183575E-9
0.2945629310167971                                3.5564034149609805E-9
0.33335469346497426                               3.2590450831461958E-9
0.41093821836132854                               4.568162488967066E-9
0.48852174325768283                               5.337600139256168E-9
0.5661052681540371                                4.839526896556829E-9
0.6436887930503914                                4.630289947274357E-9
0.7212723179467457                                4.630289947274357E-9
0.8764393677394543                                4.478037287984596E-9
1.0316064175321629                                4.763732390190909E-9
1.1867734673248713                                4.763732390190909E-9
1.34194051711758                                  2.8368379224179504E-9
1.4971075669102887                                3.0203990008883553E-9
1.8074416664957058                                2.875149982530689E-9
2.117775766081123                                 3.522802553731778E-9
2.4281098656665403                                4.437215433580946E-9
2.7384439652519577                                4.068050011340165E-9
3.048778064837375                                 3.932172020321286E-9
3.3591121644227924                                4.1203388508744386E-9
3.9797803635936266                                4.20321397937216E-9
4.600448562764461                                 4.522962807950593E-9
5.221116761935296                                 5.766667982158174E-9
5.84178496110613                                  5.766667982158174E-9
6.462453160276965                                 6.371797663512298E-9
7.0831213594478                                   5.86685690651702E-9
8.324457757789467                                 5.214501783855273E-8
9.565794156131137                                 5.690245531866897E-7
10.807130554472806                                3.887670883202178E-6
12.048466952814476                                1.9634250852241318E-5
13.289803351156145                                8.045295370266573E-5
14.531139749497815                                2.8090440959675344E-4
17.01381254618115                                 0.0047666183682704075
19.49648534286449                                 0.028819320721707165
21.979158139547827                                0.11641353878644259
24.461830936231166                                0.3681250629863088
26.944503732914505                                0.9788205616696477
29.427176529597844                                2.2797762590383166
34.39252212296452                                 10.36076546232755
39.3578677163312                                  30.962657411339066
44.32321330969788                                 72.64934225834118
49.288558903064555                                145.09615598905856
54.25390449643123                                 257.70367758499225
59.21925008979791                                 418.3589837907252
64.18459568316459                                 632.599015166747
74.11528686989794                                 1228.298053379159
84.0459780566313                                  2033.8434742784013
93.97666924336465                                 3020.3200426360786
103.90736043009801                                4148.380560433114
113.83805161683136                                5375.925045178402
123.76874280356472                                6663.740811897752
133.69943399029808                                7978.477958613069
153.5608163637648                                 10569.775409976217
173.4221987372315                                 13041.203351131631
193.2835811106982                                 15325.851155500603
213.14496348416492                                17392.75502014235
233.00634585763163                                19236.51361499192
252.86772823109834                                20866.547507951684
272.72911060456505                                22299.566646217903
312.4518753514984                                 24675.284421588625
352.17464009843184                                26490.74987407009
391.89740484536526                                27863.712020259856
431.6201695922987                                 28892.9530421772
471.3429343392321                                 29656.45492885362
511.0656990861655                                 30214.217243293413
550.788463833099                                  30611.948672651175
590.5112285800324                                 30884.453885911636
669.9567580738992                                 31175.59935949224
749.402287567766                                  31207.084230195756
828.8478170616329                                 31067.955435903517
908.2933465554997                                 30820.161915880763
987.7388760493666                                 30504.643918770656
1067.1844055432334                                30148.241883579634
1146.6299350371003                                29768.659164537952
1226.075464530967                                 29377.702232497388
1384.9665235187008                                28596.09066833542
1543.8575825064345                                27832.357173859215
1702.7486414941682                                27103.86227984313
1861.6397004819019                                26419.185408584097
2020.5307594696355                                25781.010355376475
2179.421818457369                                 25188.695963347
2338.312877445103                                 24639.915047276976
2497.2039364328366                                24131.60076598756
2656.0949954205703                                23660.46291836404
2973.877113396037                                 22813.29215090652
3259.8810195739575                                22148.08902143082
3545.8849257518777                                21560.248171239276
3831.888831929798                                 21037.602832818884
4117.892738107718                                 20570.046648496977
4403.896644285639                                 20149.252104223357
4689.90055046356                                  19768.379886098664
4975.9044566414805                                19421.811714790732
5261.908362819401                                 19104.921644122485
5833.916175175242                                 18542.06234380029
6405.923987531082                                 18060.50605020676
6977.931799886923                                 17644.405522137622
7549.939612242763                                 17281.487171278597
8121.947424598604                                 16962.54637342175
8693.955236954445                                 16680.63284203479
9265.963049310287                                 16430.391225780753
10409.978674021968                                16004.998905593866
11553.994298733649                                15665.337060791817
12698.00992344533                                 15393.887299904993
13842.025548157011                                15176.630054422529
14986.041172868692                                15002.583782101756
16130.056797580373                                14863.094264478013
17274.072422292054                                14751.286419351069
18418.088047003737                                14661.668296204003
19562.10367171542                                 14589.840319059878
20706.119296427103                                14532.274249859873
22994.150545850465                                14446.769299786865
25282.181795273827                                14391.779951481258
27570.21304469719                                 14357.047429117443
29858.24429412055                                 14335.324859552637
32146.275543543914                                14321.821252419075
34434.306792967276                                14313.458930977904
39010.369291814                                   14303.98851180707
43586.431790660725                                14300.563195304709
48162.49428950745                                 14299.669310964471
54162.49428950745                                 14299.520849207142
60162.49428950745                                 14299.772180235183
