% Model:              Transitorio.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 10 2025, 14:56
% Table:              Table 21 - 
% Time (s)                                        Total heat flux magnitude (W/m^2), Point: (2.5, 0, 0)
0                                                 1.4473270619665189E-8
0.12242448515301106                               1.1782973061530907E-8
0.12484897030602213                               1.1782973061530907E-8
0.12969794061204426                               1.007674764622095E-8
0.13939588122408855                               9.955153478062583E-9
0.1587917624481771                                1.2756934281628871E-8
0.1781876436722657                                1.1744149321516388E-8
0.21697940612044284                               1.4089522058529622E-8
0.25577116856862                                  9.90148649153133E-9
0.2945629310167971                                7.842384805300502E-9
0.33335469346497426                               7.023118087090552E-9
0.41093821836132854                               7.685521262775234E-9
0.48852174325768283                               9.652352564753398E-9
0.5661052681540371                                1.4877832634662334E-8
0.6436887930503914                                1.825910655485556E-8
0.7212723179467457                                1.762702287005532E-8
0.8764393677394543                                1.762702287005532E-8
1.0316064175321629                                1.5655624767314257E-8
1.1867734673248713                                1.5256721139833386E-8
1.34194051711758                                  1.1666114242570033E-8
1.4971075669102887                                1.3202622597292106E-8
1.8074416664957058                                1.1315023584757E-8
2.117775766081123                                 1.7194204130958808E-8
2.4281098656665403                                1.2491638234945149E-8
2.7384439652519577                                1.153488268593998E-8
3.048778064837375                                 1.1206872729257221E-8
3.3591121644227924                                1.8041029475381825E-8
3.9797803635936266                                1.0649656548479837E-8
4.600448562764461                                 1.1633445138269273E-8
5.221116761935296                                 1.3092622947726922E-8
5.84178496110613                                  8.905869505379483E-9
6.462453160276965                                 1.148197010105317E-8
7.0831213594478                                   1.937554832218365E-8
8.324457757789467                                 1.0620956720590139E-7
9.565794156131137                                 9.634739088502328E-7
10.807130554472806                                5.543089585938919E-6
12.048466952814476                                2.396221497862055E-5
13.289803351156145                                8.469063612103163E-5
14.531139749497815                                2.5625398054688003E-4
17.01381254618115                                 0.002403559509881043
19.49648534286449                                 0.01108824190302434
21.979158139547827                                0.03734561262083592
24.461830936231166                                0.10478918741052431
26.944503732914505                                0.25997256115944306
29.427176529597844                                0.5866744359286835
34.39252212296452                                 2.698539593538589
39.3578677163312                                  8.401613961233751
44.32321330969788                                 20.44364963505289
49.288558903064555                                42.056025176453936
54.25390449643123                                 76.48543147354486
59.21925008979791                                 126.54393479487294
64.18459568316459                                 194.2848591268469
74.11528686989794                                 385.8356574270727
84.0459780566313                                  648.3372271344174
93.97666924336465                                 972.5753567330785
103.90736043009801                                1345.5123600792626
113.83805161683136                                1752.9695438846004
123.76874280356472                                2181.6306925990193
133.69943399029808                                2620.1171411898144
153.5608163637648                                 3485.833577757606
173.4221987372315                                 4312.816869826284
193.2835811106982                                 5078.0012820879165
213.14496348416492                                5770.607655167501
233.00634585763163                                6388.6020407902715
252.86772823109834                                6935.027760004022
272.72911060456505                                7415.432498907135
312.4518753514984                                 8211.866622874459
352.17464009843184                                8820.478817173363
391.89740484536526                                9280.749900995692
431.6201695922987                                 9625.811210915756
471.3429343392321                                 9881.819167221127
511.0656990861655                                 10068.896663579337
550.788463833099                                  10202.371592956073
590.5112285800324                                 10293.914596347033
669.9567580738992                                 10392.073710661478
749.402287567766                                  10403.499784496624
828.8478170616329                                 10358.214566155546
908.2933465554997                                 10277.25129091008
987.7388760493666                                 10174.693288266808
1067.1844055432334                                10059.971748227841
1146.6299350371003                                9939.4998854614
1226.075464530967                                 9817.724715470085
1384.9665235187008                                9584.047121910991
1543.8575825064345                                9371.001329617515
1702.7486414941682                                9185.989529614964
1861.6397004819019                                9032.498460654195
2020.5307594696355                                8911.125230409254
2179.421818457369                                 8820.655156714509
2338.312877445103                                 8758.855882414848
2497.2039364328366                                8723.010194621944
2656.0949954205703                                8710.252829730367
2973.877113396037                                 8739.811758761383
3259.8810195739575                                8819.651974476863
3545.8849257518777                                8937.429354816522
3831.888831929798                                 9083.064587194092
4117.892738107718                                 9248.423779528286
4403.896644285639                                 9427.04746406347
4689.90055046356                                  9613.86643217315
4975.9044566414805                                9804.939719492215
5261.908362819401                                 9997.230556124534
5833.916175175242                                 10375.042119759768
6405.923987531082                                 10737.61698251681
6977.931799886923                                 11078.58462265909
7549.939612242763                                 11394.528669540266
8121.947424598604                                 11684.282609323507
8693.955236954445                                 11948.134772726287
9265.963049310287                                 12187.230676089812
10409.978674021968                                12600.031575418307
11553.994298733649                                12935.180815690566
12698.00992344533                                 13205.48888716748
13842.025548157011                                13422.719300073055
14986.041172868692                                13596.977394063384
16130.056797580373                                13736.65120833601
17274.072422292054                                13848.572477625557
18418.088047003737                                13938.250693330567
19562.10367171542                                 14010.108496465824
20706.119296427103                                14067.689616711275
22994.150545850465                                14153.211537132964
25282.181795273827                                14208.20813722828
27570.21304469719                                 14242.944721071046
29858.24429412055                                 14264.670093105236
32146.275543543914                                14278.175668725931
34434.306792967276                                14286.539301693394
39010.369291814                                   14296.011220236833
43586.431790660725                                14299.437089934094
48162.49428950745                                 14300.33111930455
54162.49428950745                                 14300.479604631366
60162.49428950745                                 14300.228233667534
