% Model:              Transitorio.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 10 2025, 14:50
% Table:              Table 13 - 
% Time (s)                                        Total heat flux magnitude (W/m^2), Point: (1.5, 0, 0)
0                                                 1.263440012215213E-8
0.12242448515301106                               1.263440012215213E-8
0.12484897030602213                               1.263440012215213E-8
0.12969794061204426                               1.263440012215213E-8
0.13939588122408855                               1.0163713003333732E-8
0.1587917624481771                                1.2292391883120424E-8
0.1781876436722657                                1.3742533052268533E-8
0.21697940612044284                               1.070357243637075E-8
0.25577116856862                                  8.884610427769733E-9
0.2945629310167971                                9.866832145119348E-9
0.33335469346497426                               6.187660260501561E-9
0.41093821836132854                               1.116530047817184E-8
0.48852174325768283                               1.3908817055033723E-8
0.5661052681540371                                1.0869077828192886E-8
0.6436887930503914                                1.2608392140741215E-8
0.7212723179467457                                9.200278282206596E-9
0.8764393677394543                                5.448690885118522E-9
1.0316064175321629                                8.796356756936775E-9
1.1867734673248713                                1.0701461026015838E-8
1.34194051711758                                  9.200278282206596E-9
1.4971075669102887                                9.200278282206596E-9
1.8074416664957058                                1.0103151297517103E-8
2.117775766081123                                 8.555081861072299E-9
2.4281098656665403                                1.1218858522657014E-8
2.7384439652519577                                9.286614606010893E-9
3.048778064837375                                 5.289195303307617E-9
3.3591121644227924                                4.742902240231815E-9
3.9797803635936266                                2.929954793640094E-9
4.600448562764461                                 2.660626681975797E-9
5.221116761935296                                 6.287004751379806E-9
5.84178496110613                                  7.385001114008231E-9
6.462453160276965                                 7.383873694388815E-9
7.0831213594478                                   5.3817038880455284E-9
8.324457757789467                                 6.224455393103469E-9
9.565794156131137                                 2.5026084590428388E-9
10.807130554472806                                7.069030134357659E-9
12.048466952814476                                8.045992562176479E-9
13.289803351156145                                6.4851629173565865E-9
14.531139749497815                                7.111970727506979E-9
17.01381254618115                                 5.9094259910457785E-9
19.49648534286449                                 4.307671903569104E-9
21.979158139547827                                9.052102956472585E-9
24.461830936231166                                6.110292123124909E-9
26.944503732914505                                8.14238334694005E-9
29.427176529597844                                6.949746692964193E-9
34.39252212296452                                 7.510201196110528E-9
39.3578677163312                                  8.069756059049126E-9
44.32321330969788                                 9.276363344904148E-9
49.288558903064555                                8.545066477748669E-9
54.25390449643123                                 7.326956900757321E-9
59.21925008979791                                 7.598366899756494E-9
64.18459568316459                                 7.2418925828179285E-9
74.11528686989794                                 4.871553369378633E-9
84.0459780566313                                  4.726315457595753E-8
93.97666924336465                                 3.699870987295113E-7
103.90736043009801                                1.9887551747100344E-6
113.83805161683136                                8.63053195886385E-6
123.76874280356472                                3.15861583629721E-5
133.69943399029808                                1.0105536896445002E-4
153.5608163637648                                 0.0013794942463022871
173.4221987372315                                 0.007815020788501655
193.2835811106982                                 0.03047156262694108
213.14496348416492                                0.09433723654099123
233.00634585763163                                0.24774551839228098
252.86772823109834                                0.5734206873483948
272.72911060456505                                1.199409529043122
312.4518753514984                                 4.528407204172762
352.17464009843184                                12.326817342881668
391.89740484536526                                27.345187749836434
431.6201695922987                                 52.68278262114707
471.3429343392321                                 91.40914752707947
511.0656990861655                                 146.2211027730456
550.788463833099                                  219.19267530022452
590.5112285800324                                 311.6450063432968
669.9567580738992                                 555.59855864484
749.402287567766                                  873.6119069927892
828.8478170616329                                 1256.2523858919542
908.2933465554997                                 1691.1053695880516
987.7388760493666                                 2164.8039827371717
1067.1844055432334                                2664.577823572989
1146.6299350371003                                3179.153746112416
1226.075464530967                                 3699.127975372812
1384.9665235187008                                4721.300192815762
1543.8575825064345                                5699.213277988557
1702.7486414941682                                6612.187877776526
1861.6397004819019                                7449.673140766798
2020.5307594696355                                8208.735748798952
2179.421818457369                                 8891.214536297222
2338.312877445103                                 9501.594071077043
2497.2039364328366                                10045.605882285663
2656.0949954205703                                10529.379694388192
2973.877113396037                                 11346.791797150652
3259.8810195739575                                11932.018851197325
3545.8849257518777                                12401.979832416539
3831.888831929798                                 12778.914791485573
4117.892738107718                                 13081.05878823477
4403.896644285639                                 13323.194278635567
4689.90055046356                                  13517.225985769383
4975.9044566414805                                13672.710063532764
5261.908362819401                                 13797.306756639777
5833.916175175242                                 13982.365133069496
6405.923987531082                                 14101.372109736298
6977.931799886923                                 14176.538647158652
7549.939612242763                                 14223.55006527739
8121.947424598604                                 14252.774603648733
8693.955236954445                                 14270.872517154354
9265.963049310287                                 14282.052716094111
10409.978674021968                                14294.70542222599
11553.994298733649                                14299.26928150705
12698.00992344533                                 14300.452964633872
13842.025548157011                                14300.513778693812
14986.041172868692                                14300.32927759913
16130.056797580373                                14300.166883178517
17274.072422292054                                14300.071000425207
18418.088047003737                                14300.02495507057
19562.10367171542                                 14300.006380110528
20706.119296427103                                14300.000342427209
22994.150545850465                                14299.99675772434
25282.181795273827                                14299.998112877114
27570.21304469719                                 14299.999487530356
29858.24429412055                                 14300.000085059779
32146.275543543914                                14300.000230238165
34434.306792967276                                14300.000227683506
39010.369291814                                   14300.000210729893
43586.431790660725                                14300.000193711903
48162.49428950745                                 14300.000188602
54162.49428950745                                 14300.000188267231
60162.49428950745                                 14300.000188866343
