% Model:              Transitorio.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 10 2025, 14:49
% Table:              Table 7 - 
% Time (s)                                        Temperature (degC), Point: (1, 0, 0)
0                                                 25.00000000000057
0.12242448515301106                               25.00000000000057
0.12484897030602213                               25.00000000000057
0.12969794061204426                               25.00000000000057
0.13939588122408855                               25.00000000000057
0.1587917624481771                                25.00000000000057
0.1781876436722657                                25.000000000000625
0.21697940612044284                               25.000000000000625
0.25577116856862                                  25.00000000000057
0.2945629310167971                                25.00000000000057
0.33335469346497426                               25.00000000000057
0.41093821836132854                               25.000000000000455
0.48852174325768283                               25.000000000000398
0.5661052681540371                                25.000000000000398
0.6436887930503914                                25.000000000000398
0.7212723179467457                                25.000000000000398
0.8764393677394543                                25.000000000000398
1.0316064175321629                                25.000000000000398
1.1867734673248713                                25.000000000000398
1.34194051711758                                  25.000000000000455
1.4971075669102887                                25.000000000000398
1.8074416664957058                                25.000000000000398
2.117775766081123                                 25.000000000000455
2.4281098656665403                                25.000000000000455
2.7384439652519577                                25.000000000000455
3.048778064837375                                 25.000000000000455
3.3591121644227924                                25.000000000000455
3.9797803635936266                                25.000000000000455
4.600448562764461                                 25.000000000000455
5.221116761935296                                 25.000000000000455
5.84178496110613                                  25.000000000000455
6.462453160276965                                 25.000000000000455
7.0831213594478                                   25.000000000000455
8.324457757789467                                 25.000000000000455
9.565794156131137                                 25.000000000000398
10.807130554472806                                25.00000000000034
12.048466952814476                                25.000000000000398
13.289803351156145                                25.000000000000398
14.531139749497815                                25.00000000000034
17.01381254618115                                 25.000000000000398
19.49648534286449                                 25.000000000000398
21.979158139547827                                25.000000000000398
24.461830936231166                                25.00000000000034
26.944503732914505                                25.00000000000034
29.427176529597844                                25.000000000000398
34.39252212296452                                 25.000000000001478
39.3578677163312                                  25.00000000001546
44.32321330969788                                 25.00000000011579
49.288558903064555                                25.00000000063295
54.25390449643123                                 25.000000002768274
59.21925008979791                                 25.000000010210556
64.18459568316459                                 25.000000032862374
74.11528686989794                                 25.00000045563337
84.0459780566313                                  25.000002597850767
93.97666924336465                                 25.00001018336104
103.90736043009801                                25.000031695325276
113.83805161683136                                25.00008371461405
123.76874280356472                                25.00019498212737
133.69943399029808                                25.00041067074079
153.5608163637648                                 25.001588992728898
173.4221987372315                                 25.00442422171136
193.2835811106982                                 25.010037932347416
213.14496348416492                                25.01978874185255
233.00634585763163                                25.03515450367962
252.86772823109834                                25.057607483618824
272.72911060456505                                25.08850370139976
312.4518753514984                                 25.180827861082776
352.17464009843184                                25.316716817366398
391.89740484536526                                25.498246654180264
431.6201695922987                                 25.72495885853857
471.3429343392321                                 25.99435984085858
511.0656990861655                                 26.30263314252153
550.788463833099                                  26.64527286499157
590.5112285800324                                 27.017559119482883
669.9567580738992                                 27.82787228625824
749.402287567766                                  28.70589261934316
828.8478170616329                                 29.626761809066522
908.2933465554997                                 30.570097686423424
987.7388760493666                                 31.520235415719014
1067.1844055432334                                32.465563928742995
1146.6299350371003                                33.397715311870115
1226.075464530967                                 34.31082004361639
1384.9665235187008                                36.06317536964269
1543.8575825064345                                37.71016776667551
1702.7486414941682                                39.246964369955606
1861.6397004819019                                40.6745646003024
2020.5307594696355                                41.99777358389713
2179.421818457369                                 43.22338771944368
2338.312877445103                                 44.35899155526198
2497.2039364328366                                45.4122449445876
2656.0949954205703                                46.39049651482219
2973.877113396037                                 48.1561558414611
3259.8810195739575                                49.550097681459704
3545.8849257518777                                50.788632465000546
3831.888831929798                                 51.89580517876044
4117.892738107718                                 52.891489994636004
4403.896644285639                                 53.79204331041899
4689.90055046356                                  54.6109143777731
4975.9044566414805                                55.359179929125844
5261.908362819401                                 56.04599132079392
5833.916175175242                                 57.27131040073937
6405.923987531082                                 58.3254998477924
6977.931799886923                                 59.24052236153943
7549.939612242763                                 60.04135996121255
8121.947424598604                                 60.74695628517071
8693.955236954445                                 61.37178966742351
9265.963049310287                                 61.92715355138574
10409.978674021968                                62.872178327100755
11553.994298733649                                63.627575411787916
12698.00992344533                                 64.23163827799817
13842.025548157011                                64.71523756511584
14986.041172868692                                65.10268704508132
16130.056797580373                                65.4132108916047
17274.072422292054                                65.6621062193064
18418.088047003737                                65.86160043718542
19562.10367171542                                 66.02149020871582
20706.119296427103                                66.14963151604746
22994.150545850465                                66.33996359954489
25282.181795273827                                66.46236809849427
27570.21304469719                                 66.53968148510808
29858.24429412055                                 66.58803520843031
32146.275543543914                                66.61809382621777
34434.306792967276                                66.63670811259135
39010.369291814                                   66.65778899463942
43586.431790660725                                66.66541365277902
48162.49428950745                                 66.66740341425668
54162.49428950745                                 66.66773388588484
60162.49428950745                                 66.6671744302052
