% Model:              Transitorio.mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 10 2025, 14:51
% Table:              Table 14 - 
% Time (s)                                        Temperature (degC), Point: (1.75, 0, 0)
0                                                 25.000000000000796
0.12242448515301106                               25.000000000000796
0.12484897030602213                               25.000000000000796
0.12969794061204426                               25.000000000000796
0.13939588122408855                               25.000000000000796
0.1587917624481771                                25.000000000000682
0.1781876436722657                                25.000000000000682
0.21697940612044284                               25.00000000000057
0.25577116856862                                  25.00000000000057
0.2945629310167971                                25.00000000000057
0.33335469346497426                               25.00000000000057
0.41093821836132854                               25.000000000000625
0.48852174325768283                               25.000000000000682
0.5661052681540371                                25.000000000000682
0.6436887930503914                                25.000000000000682
0.7212723179467457                                25.000000000000682
0.8764393677394543                                25.000000000000682
1.0316064175321629                                25.000000000000682
1.1867734673248713                                25.000000000000682
1.34194051711758                                  25.000000000000682
1.4971075669102887                                25.000000000000682
1.8074416664957058                                25.000000000000682
2.117775766081123                                 25.000000000000682
2.4281098656665403                                25.000000000000682
2.7384439652519577                                25.00000000000074
3.048778064837375                                 25.00000000000074
3.3591121644227924                                25.00000000000074
3.9797803635936266                                25.000000000000682
4.600448562764461                                 25.000000000000682
5.221116761935296                                 25.000000000000682
5.84178496110613                                  25.000000000000682
6.462453160276965                                 25.000000000000682
7.0831213594478                                   25.000000000000682
8.324457757789467                                 25.000000000000682
9.565794156131137                                 25.000000000000625
10.807130554472806                                25.000000000000682
12.048466952814476                                25.000000000000682
13.289803351156145                                25.000000000000625
14.531139749497815                                25.000000000000682
17.01381254618115                                 25.00000000000057
19.49648534286449                                 25.00000000000057
21.979158139547827                                25.000000000000455
24.461830936231166                                25.000000000000455
26.944503732914505                                25.000000000000455
29.427176529597844                                25.000000000000455
34.39252212296452                                 25.000000000000455
39.3578677163312                                  25.000000000000455
44.32321330969788                                 25.000000000000455
49.288558903064555                                25.000000000000398
54.25390449643123                                 25.00000000000034
59.21925008979791                                 24.999999999999886
64.18459568316459                                 24.999999999998295
74.11528686989794                                 24.999999999887052
84.0459780566313                                  24.999999998944133
93.97666924336465                                 24.99999999397869
103.90736043009801                                24.99999997419002
113.83805161683136                                24.99999990932497
123.76874280356472                                24.9999997261541
133.69943399029808                                24.999999267172086
153.5608163637648                                 24.999994589660332
173.4221987372315                                 24.999977478296614
193.2835811106982                                 24.999930258869142
213.14496348416492                                24.999821626931976
233.00634585763163                                24.9996028478904
252.86772823109834                                24.999205439301704
272.72911060456505                                24.998540975120534
312.4518753514984                                 24.99581093497636
352.17464009843184                                24.990545086412965
391.89740484536526                                24.98182890349773
431.6201695922987                                 24.968847893911175
471.3429343392321                                 24.950999227482157
511.0656990861655                                 24.92795008161653
550.788463833099                                  24.899650904191446
590.5112285800324                                 24.866313899797888
669.9567580738992                                 24.787291031075824
749.402287567766                                  24.6955880156313
828.8478170616329                                 24.596795139034782
908.2933465554997                                 24.496560795630955
987.7388760493666                                 24.399981552410622
1067.1844055432334                                24.31127747446976
1146.6299350371003                                24.23368611782837
1226.075464530967                                 24.169501529911486
1384.9665235187008                                24.086947404548255
1543.8575825064345                                24.066154080499416
1702.7486414941682                                24.105481230890234
1861.6397004819019                                24.200317149767045
2020.5307594696355                                24.344391817839096
2179.421818457369                                 24.530873085547
2338.312877445103                                 24.753063323798642
2497.2039364328366                                25.0047734538241
2656.0949954205703                                25.280482413708455
2973.877113396037                                 25.880684579855426
3259.8810195739575                                26.4627073751883
3545.8849257518777                                27.067155633004973
3831.888831929798                                 27.681269589679687
4117.892738107718                                 28.295562677558394
4403.896644285639                                 28.90307651613398
4689.90055046356                                  29.498774738580664
4975.9044566414805                                30.079072591240674
5261.908362819401                                 30.641481539295796
5833.916175175242                                 31.705848954274302
6405.923987531082                                 32.68736916753636
6977.931799886923                                 33.585290422525645
7549.939612242763                                 34.4018148271428
8121.947424598604                                 35.14113227684675
8693.955236954445                                 35.80852034852188
9265.963049310287                                 36.409709020279024
10409.978674021968                                37.443104427895264
11553.994298733649                                38.278193642709425
12698.00992344533                                 38.95000651005273
13842.025548157011                                39.489292025638804
14986.041172868692                                39.92173676159587
16130.056797580373                                40.26834607497074
17274.072422292054                                40.546109190058644
18418.088047003737                                40.76869120778656
19562.10367171542                                 40.947055381929715
20706.119296427103                                41.08998828881437
22994.150545850465                                41.30228199014175
25282.181795273827                                41.43880425625639
27570.21304469719                                 41.52503389027862
29858.24429412055                                 41.57896448531591
32146.275543543914                                41.612490279903966
34434.306792967276                                41.633251822567615
39010.369291814                                   41.65676451869513
43586.431790660725                                41.66526874750167
48162.49428950745                                 41.66748804638502
54162.49428950745                                 41.66785664012417
60162.49428950745                                 41.66723264741779
